chembl_id,IC50_nM_geomean,n_replicates,smiles
CHEMBL432491,12.0,1,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2
CHEMBL438721,119.99999999999997,1,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccccc32)cc1
CHEMBL442186,17.999999999999996,1,O=C1Nc2ccc(F)c3c(SC[C@@H]4CCCN4)cc(-c4ccc[nH]4)c1c23
CHEMBL443198,730.0,1,O=C(CO)Nc1c[nH]nc1C(=O)Nc1ccc(F)cc1
CHEMBL4434871,1140.0000000000005,1,C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Nc3n[nH]c4c3CN(C(=O)N[C@H](CN(C)C)c3ccccc3)C4(C)C)c2)cc1
CHEMBL4438059,19.200000000000003,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCCC1
CHEMBL4438497,14.5,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(N)=S)C5)ncc3F)cc2n1C(C)C
CHEMBL4439321,685.5654600401043,2,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@](C)(=N)=O)c2)n1
CHEMBL4439999,25.100000000000005,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CC[Si](C)(C)C)C5)ncc3F)cc2n1C(C)C
CHEMBL4442620,6.7082039324993685,2,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=N)(=O)C3CC3)cc2)ncc1C(F)(F)F
CHEMBL4445727,358.0,1,CCn1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc21
CHEMBL4446626,669.9999999999999,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCC1
CHEMBL4448494,47.7,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C
CHEMBL4449998,231.99999999999997,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1CC1CC1
CHEMBL4450322,1300.0,1,C=CC(=O)Nc1ccc(C(=O)Nc2[nH]nc3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)cc1
CHEMBL445162,17599.999999999985,1,CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1
CHEMBL4453095,115.99999999999999,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1[C@H]1CC[C@H](C)CC1
CHEMBL4453997,57.00000000000001,1,COc1ccc(-c2n[nH]c3c2C(=O)c2c(C=O)cccc2-3)cc1
